nombre,poblacion,superficie,continente
Argentina,45773884,2780400,America
Brasil,211140729,8515767,America
Canada,40126723,9984670,America
Mexico,129875529,1964375,America
España,48619695,505990,Europa
Francia,68373433,551695,Europa
Alemania,84552242,357022,Europa
Italia,58850717,301340,Europa
China,1410710000,9596961,Asia
India,1438069596,3287263,Asia
Japon,123960000,377975,Asia
Corea del Sur,51712619,100210,Asia
Egipto,114535772,1002450,Africa
Nigeria,232679478,923768,Africa
Sudafrica,63015904,1221037,Africa
Argelia,46814308,2381741,Africa
Australia,26908185,7692024,Oceania
Nueva Zelanda,5316700,268838,Oceania
Papua Nueva Guinea,10329931,462840,Oceania
Fiyi,936375,18274,Oceania
